hash,author,modules,lines_added,lines_deleted
10a59925a378bd67aa3834c842dad19de9c5e4c0,Heikki Linnakangas,['src'],8,1
60f227316c0ebf5f4f8296f11cedc9360e9cb8ae,Heikki Linnakangas,['src'],64,20
5ad49322e50459444b201e624d5df706751c9d41,Michael Paquier,['src'],6,0
8a553f2aed8dfe6cb8cdd0fe78e01b19d4138b35,Alvaro Herrera,['doc'],1,1
01eca6a913c4997c17e1569898f14cf611bff647,Michael Paquier,['src'],42,22
b2caf7c0e1ebada614b6aa3004d826080a07e7e4,Tomas Vondra,['src'],3,1
6631363a5992a81d7bbcecaba68886564ad701ba,Thomas Munro,['src'],9,9
d053a879bb360fb72c46de2a013e741d3f7c9e8d,Tom Lane,['src'],56,60
414e75540f058b23377219586abb3008507f7099,Bruce Momjian,['src'],3,3
eeb0ebad79d9350305d9e111fbac76e20fa4b2fe,Amit Kapila,['src'],34,11
2f30226624b0645913ea832c15b10b0de43bc7c4,Michael Paquier,['src'],2,2
24ea53dcfab7fe463c0cf56095e9fe5d23cdb748,Alvaro Herrera,['src'],23,9
3650e7a3933166b40f7f9043bd91f45d3467c74d,Michael Paquier,['src'],1,1
b218fbb7a35fcf31539bfad12732038fe082a2eb,Dean Rasheed,['src'],80,44
823eb3db1c50a6b8a89ebedc1db96b14de140183,Andres Freund,['contrib'],1,1
a268a51de692c462e641a58ac842bbb0ac1e43ea,Andres Freund,['doc'],4,0
69c32b8b3535f7f367cca90a09d9557d575b270c,Nathan Bossart,['src'],1,1
a8b330ffb6f71db8ef306a7110dade6ca64cf773,Heikki Linnakangas,['src'],25,13
e7814b40d02582238b14d838c2458825d9170178,Peter Eisentraut,"['doc', 'src']",3,3
43071777be134bb471f316fea66d928e6c40e37f,Peter Eisentraut,['doc'],1,1
83472de606db42a1e1f59ab2c3d0e5ae0b95e739,Tom Lane,"['doc', 'src']",789,620
acc95f29efd4f8aa60eb72a838bfd3c979fb1c5b,Bruce Momjian,"['doc', 'src']",26,19
a9f19c1349c22819038842a0debba2c86b4832b8,Michael Paquier,['src'],16,12
b7f315c9d7d839dda847b10d170ffec7c3f4dbba,Alexander Korotkov,['src'],23,2
eb81e8e7902f63c4d292638edc8b7e92b766a692,Peter Eisentraut,['doc'],18,18
