filename,ast_features
2022_ffd1b6bb.diff,AST_PARSE_ERROR: :2:20: before: char
2023_0174c2d2.diff,No logic nodes
2023_01d56eec.diff,AST_PARSE_ERROR: :2:17: before: guaranteeing
2023_05c82129.diff,"AST_PARSE_ERROR: :2:17: before: ""S 1"""
2023_064eb89e.diff,AST_PARSE_ERROR: :2:3: before: else
2023_06be01eb.diff,No logic nodes
2023_0890f7d5.diff,AST_PARSE_ERROR: :2:5: before: published
2023_09d465c3.diff,AST_PARSE_ERROR: :2:3: before: <
2023_0b053e78.diff,AST_PARSE_ERROR: :2:25: before: =
2023_0b5d1fb3.diff,AST_PARSE_ERROR: :6:78: before: ;
2023_0bf62460.diff,AST_PARSE_ERROR: :3:12: before: >
2023_126552c8.diff,AST_PARSE_ERROR: :4:34: before: ;
2023_17935e1f.diff,CALL(isspace) | IF_CONDITION(expr) | CALL(isalpha) | CALL(isalpha) | CALL(isspace) | CALL(isspace) | CALL(strchr) | CALL(isspace) | CALL(isspace)
2023_1d477a90.diff,AST_PARSE_ERROR: :2:41: before: ;
2023_20847013.diff,AST_PARSE_ERROR: :2:10: before: TABLE
2023_236f1ea8.diff,No logic nodes
2023_237f8765.diff,CALL(MemoryContextReset) | CALL(ResetExprContext)
2023_2c321cea.diff,AST_PARSE_ERROR: :3:3: before: BEGIN
2023_2ed16aac.diff,AST_PARSE_ERROR: :2:12: before: in
2023_30dbdbe7.diff,AST_PARSE_ERROR: :2:10: before: avg
2023_318b1c0c.diff,AST_PARSE_ERROR: :2:73: before: ;
2023_32bc0d02.diff,AST_PARSE_ERROR: :2:9: before: by
2023_3850d4de.diff,AST_PARSE_ERROR: :5:10: before: CAST
2023_39055cb4.diff,CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert)
2023_3ad5f07c.diff,AST_PARSE_ERROR: :2:79: before: )
2023_3ec8a3bf.diff,IF_CONDITION(!expr && b_has_nulls)
2023_3ef18a90.diff,AST_PARSE_ERROR: :2:3: before: <
2023_4637a6ac.diff,No logic nodes
2023_4766eef3.diff,AST_PARSE_ERROR: :2:11: before: variant
2023_47ab5d2e.diff,AST_PARSE_ERROR: :2:10: Unmatched '
2023_49c2c5fc.diff,AST_PARSE_ERROR: :2:36: before: =
2023_4e465aac.diff,No logic nodes
2023_4f3514f2.diff,AST_PARSE_ERROR: :2:25: before: char
2023_50547a3f.diff,IF_CONDITION(expr) | CALL(XLogRecHasBlockData) | IF_CONDITION(expr) | CALL(XLogRecHasBlockData) | IF_CONDITION(expr) | CALL(XLogRecHasBlockData) | IF_CONDITION(expr && !isinit) | CALL(XLogRecHasBlockData) | IF_CONDITION(expr) | CALL(XLogRecHasBlockData) | IF_CONDITION(expr) | CALL(XLogRecHasBlockData)
2023_541e8f14.diff,AST_PARSE_ERROR: :5:21: before: /
2023_55484169.diff,AST_PARSE_ERROR: :4:23: before: ;
2023_555b929b.diff,AST_PARSE_ERROR: :2:44: Illegal character '\\'
2023_5cfba1ad.diff,AST_PARSE_ERROR: :4:16: before: ;
2023_5d8aa8bc.diff,AST_PARSE_ERROR: :3:23: before: =
2023_5dc456b7.diff,AST_PARSE_ERROR: :3:35: before: /
2023_5ec69b71.diff,AST_PARSE_ERROR: :2:91: before: )
2023_5f3aa309.diff,AST_PARSE_ERROR: :7:69: before: ;
2023_6631363a.diff,No logic nodes
2023_675fed4d.diff,No logic nodes
2023_691594ac.diff,CALL(check_stack_depth) | CALL(check_stack_depth) | CALL(CHECK_FOR_INTERRUPTS)
2023_6c14fb17.diff,No logic nodes
2023_6c6d6ba3.diff,AST_PARSE_ERROR: :2:41: before: ;
2023_7023207c.diff,AST_PARSE_ERROR: :2:7: before: error
2023_714780dc.diff,AST_PARSE_ERROR: :7:23: before: /
2023_720de00a.diff,CALL(pgstat_report_wait_start) | CALL(pg_usleep) | CALL(pgstat_report_wait_end) | IF_CONDITION(IsUnderPostmaster && !expr) | CALL(PostmasterIsAlive) | CALL(exit)
2023_72740099.diff,AST_PARSE_ERROR: :2:13: before: ;
2023_728015a4.diff,AST_PARSE_ERROR: :2:10: before: table
2023_7ab1bc29.diff,AST_PARSE_ERROR: :2:30: before: /
2023_7da51590.diff,AST_PARSE_ERROR: :2:69: before: ;
2023_7e5f5177.diff,AST_PARSE_ERROR: :2:16: before: mapping
2023_7fe1aa99.diff,AST_PARSE_ERROR: :2:12: before: snapshot
2023_80a48e0f.diff,AST_PARSE_ERROR: :2:29: before: )
2023_8427ce4c.diff,AST_PARSE_ERROR: :7:3: before: else
2023_849172ff.diff,AST_PARSE_ERROR: :5:5: Invalid char constant '-178000000 years'
2023_88199b9d.diff,AST_PARSE_ERROR: :2:12: before: exception
2023_89be0b89.diff,AST_PARSE_ERROR: :2:8: before: /
2023_8d7d2197.diff,IF_CONDITION(started_tx) | CALL(CommitTransactionCommand) | CALL(pgstat_report_stat) | CALL(StartTransactionCommand)
2023_8dd43894.diff,No logic nodes
2023_8e5eef50.diff,CALL(IndexTupleSize)
2023_8f685806.diff,AST_PARSE_ERROR: :2:49: Invalid char constant 'pgsql'
2023_902ecd3b.diff,No logic nodes
2023_949e2e7c.diff,AST_PARSE_ERROR: :2:60: before: ;
2023_97ff8dd0.diff,AST_PARSE_ERROR: :2:52: before: ;
2023_98c6231d.diff,AST_PARSE_ERROR: :2:12: before: written
2023_9c487efe.diff,AST_PARSE_ERROR: :2:3: before: <
2023_9d49837d.diff,AST_PARSE_ERROR: :2:12: before: {
2023_9f71e10d.diff,AST_PARSE_ERROR: :2:59: before: ;
2023_a4cfeeca.diff,AST_PARSE_ERROR: :3:15: before: ;
2023_a72d613b.diff,AST_PARSE_ERROR: :4:3: before: else
2023_a734caa2.diff,AST_PARSE_ERROR: :2:21: before: SUBSCRIPTION
2023_a8dd62ef.diff,AST_PARSE_ERROR: :2:10: before: index
2023_a9781ae1.diff,IF_CONDITION(MyWorkerInfo && expr) | CALL(message_level_is_interesting)
2023_a9f19c13.diff,AST_PARSE_ERROR: :2:10: before: tables
2023_aa210e0c.diff,No logic nodes
2023_b081fe41.diff,AST_PARSE_ERROR: :4:37: before: ;
2023_b1307b8b.diff,AST_PARSE_ERROR: :2:85: before: ;
2023_b3efa270.diff,AST_PARSE_ERROR: :2:70: before: )
2023_b48af6d1.diff,AST_PARSE_ERROR: :2:59: before: ;
2023_b5934bfd.diff,AST_PARSE_ERROR: :7:14: before: sent_ptr
2023_b5c51737.diff,AST_PARSE_ERROR: :2:58: before: ;
