filename,ast_features
2024_5eac8cef.diff,AST_PARSE_ERROR: :2:3: before: else
2024_5fce30e7.diff,AST_PARSE_ERROR: :2:3: before: <
2024_61f352ec.diff,IF_CONDITION(expr != 0) | CALL(strcmp)
2024_631db1d4.diff,AST_PARSE_ERROR: :2:10: before: FOREIGN
2024_64740853.diff,No logic nodes
2024_67bab53d.diff,AST_PARSE_ERROR: :2:70: before: ;
2024_686db12d.diff,AST_PARSE_ERROR: :2:15: before: $ret
2024_68ad9816.diff,AST_PARSE_ERROR: :2:59: before: )
2024_6a5bcf7f.diff,AST_PARSE_ERROR: :3:18: before: si
2024_6a6b7f5d.diff,No logic nodes
2024_6ee26c6a.diff,AST_PARSE_ERROR: :2:18: before: :
2024_6f38c43e.diff,AST_PARSE_ERROR: :5:24: before: ;
2024_6f97ef05.diff,AST_PARSE_ERROR: :2:24: Invalid char constant 'postgresql.conf'
2024_6fd144e3.diff,AST_PARSE_ERROR: :3:18: before: ;
2024_71cb3529.diff,No logic nodes
2024_7229ebe0.diff,AST_PARSE_ERROR: :2:9: before: mem_freed
2024_75159826.diff,AST_PARSE_ERROR: :2:10: before: PROCEDURE
2024_75240f65.diff,IF_CONDITION(!new_prediction) | IF_CONDITION(!new_fnames) | CALL(REALLOC) | IF_CONDITION(!new_fnull)
2024_763d65ae.diff,AST_PARSE_ERROR: :7:17: before: dir
2024_768f0c3e.diff,AST_PARSE_ERROR: :2:35: before: volatile
2024_7829f85a.diff,AST_PARSE_ERROR: :2:15: before: locale
2024_78e4841c.diff,"AST_PARSE_ERROR: :2:12: before: ""ago"""
2024_7a424ece.diff,AST_PARSE_ERROR: :2:102: before: ;
2024_7a65cc07.diff,No logic nodes
2024_7e187a73.diff,AST_PARSE_ERROR: :2:17: before: tenk1
2024_7e65ad19.diff,AST_PARSE_ERROR: :3:29: before: )
2024_7e85d1c7.diff,No logic nodes
2024_7eb9a820.diff,AST_PARSE_ERROR: :2:3: before: <
2024_7f97b473.diff,No logic nodes
2024_8285b484.diff,AST_PARSE_ERROR: :2:9: before: relid
2024_82b07eba.diff,AST_PARSE_ERROR: :4:11: before: )
2024_846cfe0d.diff,CALL(dummy_assert) | CALL(BTScanPosIsValid)
2024_84a67725.diff,AST_PARSE_ERROR: :4:23: before: ;
2024_85551730.diff,AST_PARSE_ERROR: :2:66: Illegal character '\\'
2024_87f81a55.diff,AST_PARSE_ERROR: :4:15: before: num_exprs
2024_884d791b.diff,AST_PARSE_ERROR: :2:33: before: /
2024_8b9cbf49.diff,CALL(getpid) | CALL(getpid)
2024_8ba34c69.diff,AST_PARSE_ERROR: :2:12: before: of
2024_8cb653b2.diff,No logic nodes
2024_8d148bb8.diff,AST_PARSE_ERROR: :7:21: before: )
2024_8f4ee962.diff,AST_PARSE_ERROR: :2:29: before: ;
2024_915de706.diff,AST_PARSE_ERROR: :2:10: before: varno
2024_91cbb4b4.diff,AST_PARSE_ERROR: :2:15: before: buf
2024_91e7115b.diff,AST_PARSE_ERROR: :4:23: before: ;
2024_91fe092a.diff,AST_PARSE_ERROR: :4:36: before: void
2024_927332b9.diff,AST_PARSE_ERROR: :2:20: before: ;
2024_93660d1c.diff,AST_PARSE_ERROR: :2:68: before: ;
2024_94131cd5.diff,AST_PARSE_ERROR: :2:26: before: ;
2024_945ec4c4.diff,AST_PARSE_ERROR: :5:23: before: ;
2024_94bb6c44.diff,AST_PARSE_ERROR: :2:11: before: start
2024_95d14b7a.diff,AST_PARSE_ERROR: :2:3: before: <
2024_97e5b002.diff,AST_PARSE_ERROR: :2:57: before: )
2024_98c7c715.diff,AST_PARSE_ERROR: :10:36: before: ;
2024_991f8cf8.diff,AST_PARSE_ERROR: :2:40: before: ;
2024_995e0fbc.diff,AST_PARSE_ERROR: :2:51: Illegal character '@'
2024_9bc1eee9.diff,AST_PARSE_ERROR: :2:27: before: ;
2024_9c40db3b.diff,No logic nodes
2024_9d9ece4c.diff,AST_PARSE_ERROR: :2:8: before: a
2024_9ecbf540.diff,AST_PARSE_ERROR: :2:9: before: nbytes
2024_9f34cae1.diff,AST_PARSE_ERROR: :2:41: before: )
2024_9fd8b331.diff,No logic nodes
2024_a39297ec.diff,AST_PARSE_ERROR: :3:23: before: ;
2024_a3a836fb.diff,AST_PARSE_ERROR: :2:10: before: t1
2024_a41106da.diff,AST_PARSE_ERROR: :2:3: before: <
2024_a62d90f2.diff,CALL(_configthreadlocale) | IF_CONDITION(expr == -1) | CALL(ecpg_do_epilogue) | CALL(_configthreadlocale)
2024_a79ed10e.diff,No logic nodes
2024_a7e5237f.diff,AST_PARSE_ERROR: :2:66: Illegal character '\\'
2024_a7f2f6ad.diff,AST_PARSE_ERROR: :2:13: before: ;
2024_a8395677.diff,No logic nodes
2024_a9ed7d94.diff,AST_PARSE_ERROR: :6:67: before: ;
2024_aa1e898d.diff,AST_PARSE_ERROR: :2:11: before: all
2024_aa79bde7.diff,AST_PARSE_ERROR: :2:15: before: ;
2024_b181062a.diff,AST_PARSE_ERROR: :2:11: before: abs_size
2024_b199eb89.diff,AST_PARSE_ERROR: :2:9: before: error
2024_b1ffe3ff.diff,CALL(AbsorbSyncRequests) | CALL(AbsorbSyncRequests) | IF_CONDITION(CritSectionCount > 0)
2024_b2be5cb2.diff,AST_PARSE_ERROR: :5:58: before: ;
2024_b2d6b4c7.diff,AST_PARSE_ERROR: :10:40: before: :
2024_b3bd1829.diff,AST_PARSE_ERROR: :2:58: before: uint32
2024_b631d014.diff,AST_PARSE_ERROR: :2:13: before: error
2024_b9e5249c.diff,AST_PARSE_ERROR: :5:19: before: InjectionPointsCtl
2024_babb3993.diff,AST_PARSE_ERROR: :2:57: before: ;
2024_bb5604ba.diff,AST_PARSE_ERROR: :2:38: before: >
2024_bb812ab0.diff,AST_PARSE_ERROR: :3:11: before: for
2024_bcd5b4bc.diff,AST_PARSE_ERROR: :3:16: before: ;
2024_bd06cc33.diff,AST_PARSE_ERROR: :2:17: Missing type in declaration
2024_bd8fc167.diff,AST_PARSE_ERROR: :2:4: before: {
2024_be2f0731.diff,CALL(SimpleLruGetBankLock) | CALL(LWLockAcquire) | CALL(SimpleLruZeroPage) | IF_CONDITION(firstZeroPage == targetPage) | CALL(LWLockRelease) | CALL(LWLockAcquire)
2024_c03d91d9.diff,AST_PARSE_ERROR: :2:10: before: TABLE
2024_c1664544.diff,AST_PARSE_ERROR: :2:9: before: functions
2024_c1ff2d8b.diff,AST_PARSE_ERROR: :2:6: before: $cancel
2024_c7301c3b.diff,No logic nodes
2024_c899c683.diff,AST_PARSE_ERROR: :6:58: before: ;
2024_c95d2159.diff,No logic nodes
2024_c9e24573.diff,AST_PARSE_ERROR: :2:60: before: ;
2024_cc0e7ebd.diff,AST_PARSE_ERROR: :2:45: before: =
2024_ccc8194e.diff,IF_CONDITION(expr > expr) | CALL(TidStoreMemoryUsage) | IF_CONDITION(expr > 0) | CALL(TidStoreSetBlockOffsets) | CALL(TidStoreMemoryUsage) | CALL(TidStoreDestroy) | CALL(TidStoreDestroy) | CALL(dsa_get_handle) | CALL(TidStoreGetDSA) | CALL(TidStoreGetHandle)
2024_cd2624fd.diff,AST_PARSE_ERROR: :2:16: before: {
2024_d12b4ba1.diff,AST_PARSE_ERROR: :2:8: before: WHEN
2024_d2129572.diff,CALL(ResourceOwnerEnlarge)
2024_d22d98c3.diff,AST_PARSE_ERROR: :3:71: before: ;
2024_d35cd061.diff,AST_PARSE_ERROR: :2:20: before: escontext
2024_d4d11940.diff,AST_PARSE_ERROR: :3:9: before: thousand
2024_d802ff06.diff,AST_PARSE_ERROR: :2:6: before: =
2024_d82ab9fc.diff,AST_PARSE_ERROR: :2:7: before: operations
2024_d8f5acbd.diff,AST_PARSE_ERROR: :2:38: before: )
2024_d9e225f2.diff,AST_PARSE_ERROR: :2:22: Invalid char constant 'debug2'
2024_da4017a6.diff,AST_PARSE_ERROR: :2:3: before: <
2024_db22b900.diff,AST_PARSE_ERROR: :2:12: before: index
2024_dbf3f974.diff,IF_CONDITION(expr == LOCKTAG_TUPLE && !allLocks) | CALL(LOCALLOCK_LOCKTAG) | CALL(elog)
2024_dc26ff2f.diff,No logic nodes
2024_e116b703.diff,AST_PARSE_ERROR: :2:7: before: File
2024_e1724af4.diff,No logic nodes
2024_e3584258.diff,AST_PARSE_ERROR: :3:75: before: ;
2024_e468ec0f.diff,AST_PARSE_ERROR: :4:8: before: ;
2024_e882bcae.diff,CALL(fopen) | IF_CONDITION(fp == NULL) | IF_CONDITION(expr != 0) | CALL(fstat) | CALL(fileno)
2024_e89f4c66.diff,AST_PARSE_ERROR: :3:9: before: TABLE
2024_e9b7aee2.diff,AST_PARSE_ERROR: :2:69: before: ;
2024_ea792bfd.diff,CALL(dummy_assert) | CALL(FreeTupleDesc) | CALL(dummy_assert) | CALL(FreeTupleDesc)
2024_ed1e0a65.diff,AST_PARSE_ERROR: :2:72: before: )
2024_ed52df3b.diff,AST_PARSE_ERROR: :2:3: before: .
2024_ee937f04.diff,AST_PARSE_ERROR: :2:15: before: relsize
2024_eecd9138.diff,No logic nodes
2024_ef744ebb.diff,AST_PARSE_ERROR: :2:3: before: |
2024_ef7fa900.diff,AST_PARSE_ERROR: :4:20: before: ;
2024_f0c569d7.diff,AST_PARSE_ERROR: :2:53: before: ;
2024_f56a9def.diff,AST_PARSE_ERROR: :5:3: before: else
2024_f5a465f1.diff,AST_PARSE_ERROR: :2:23: before: ;
2024_f6ab942f.diff,AST_PARSE_ERROR: :2:3: before: <
2024_f762d99c.diff,AST_PARSE_ERROR: :2:10: before: >
2024_fc1b2ce0.diff,AST_PARSE_ERROR: :3:11: before: remaining
2024_fce2ce79.diff,AST_PARSE_ERROR: :6:14: before: ;
2024_fe093994.diff,AST_PARSE_ERROR: :2:66: before: )
2025_00066aa1.diff,AST_PARSE_ERROR: :2:24: before: /
2025_00d61a08.diff,AST_PARSE_ERROR: :5:51: before: ;
2025_02c4bc88.diff,AST_PARSE_ERROR: :2:10: before: usecs
2025_03366b61.diff,AST_PARSE_ERROR: :3:37: before: /
2025_039bfc45.diff,AST_PARSE_ERROR: :2:88: before: ;
2025_03bf7a12.diff,AST_PARSE_ERROR: :6:3: Invalid declaration
2025_04396eac.diff,AST_PARSE_ERROR: :3:106: before: )
2025_0839fbe4.diff,No logic nodes
2025_086b9a33.diff,AST_PARSE_ERROR: :2:3: before: <
2025_09fcc652.diff,AST_PARSE_ERROR: :2:10: before: to
2025_0c2b7174.diff,AST_PARSE_ERROR: :2:10: before: set_val_in_shmem
2025_0de5f0d8.diff,AST_PARSE_ERROR: :2:9: before: PUBLICATION
2025_0e5b1441.diff,AST_PARSE_ERROR: :2:63: before: ;
2025_0f21db36.diff,CALL(CHECK_FOR_INTERRUPTS) | IF_CONDITION(extra_data == NULL && expr < 100)
2025_0fc33b00.diff,AST_PARSE_ERROR: :2:27: before: ;
2025_117f9f32.diff,AST_PARSE_ERROR: :2:3: before: <
2025_12efa489.diff,AST_PARSE_ERROR: :4:3: before: else
2025_1469e312.diff,AST_PARSE_ERROR: :5:9: before: num
2025_166b4f45.diff,AST_PARSE_ERROR: :4:3: before: else
2025_167cb267.diff,AST_PARSE_ERROR: :2:31: before: ;
2025_1681a70d.diff,AST_PARSE_ERROR: :2:17: before: oldCtx
2025_18cdf593.diff,No logic nodes
2025_1d7b00dc.diff,AST_PARSE_ERROR: :2:8: before: extension
2025_1dbe6f76.diff,AST_PARSE_ERROR: :2:64: Illegal character '\\'
2025_1fc34036.diff,IF_CONDITION(expr == 0) | CALL(appendPQExpBuffer)
2025_23100645.diff,AST_PARSE_ERROR: :4:9: before: coltype
2025_246ec4a5.diff,AST_PARSE_ERROR: :2:22: before: class
2025_26eadf4d.diff,No logic nodes
2025_2817525f.diff,AST_PARSE_ERROR: :2:21: before: latestXid
2025_2a083ab8.diff,AST_PARSE_ERROR: :4:58: before: ;
2025_2ad6e80d.diff,AST_PARSE_ERROR: :3:3: before: ^
2025_2c7b4ad2.diff,AST_PARSE_ERROR: :5:19: before: :
2025_2d756ebb.diff,AST_PARSE_ERROR: :2:30: before: =
2025_2ef57908.diff,AST_PARSE_ERROR: :5:6: Illegal character '\\'
2025_2fcc5a71.diff,IF_CONDITION(readBytes == sizeofcrc) | CALL(memcpy)
2025_3191a593.diff,CALL(pgstat_fetch_stat_backend) | IF_CONDITION(!backend_stats) | IF_CONDITION(bktype)
2025_33b06a20.diff,AST_PARSE_ERROR: :2:20: before: cattr
2025_33eec809.diff,AST_PARSE_ERROR: :2:36: before: /
2025_3811ca36.diff,AST_PARSE_ERROR: :2:41: before: *
2025_3943f5cf.diff,AST_PARSE_ERROR: :2:27: before: >
2025_39e3bcae.diff,AST_PARSE_ERROR: :2:85: before: ;
2025_39f67d9b.diff,AST_PARSE_ERROR: :3:35: before: )
2025_3a661580.diff,CALL(PG_RETURN_TEXT_P) | CALL(BITMAPSET_TO_TEXT)
2025_3b35f9a4.diff,IF_CONDITION(expr) | IF_CONDITION(expr == NULL) | CALL(foreach_node) | IF_CONDITION(!expr) | CALL(bms_is_member)
2025_3fae25cb.diff,CALL(appendPQExpBufferStr) | CALL(appendPQExpBufferStr) | CALL(appendPQExpBufferStr) | CALL(appendPQExpBufferStr) | CALL(appendPQExpBufferChar) | CALL(appendPQExpBufferStr) | CALL(PQerrorMessage) | CALL(appendPQExpBufferStr) | CALL(PQerrorMessage) | CALL(appendPQExpBufferStr) | CALL(PQerrorMessage) | CALL(appendPQExpBufferChar) | CALL(appendPQExpBufferChar) | CALL(appendPQExpBufferChar)
2025_43830ecb.diff,AST_PARSE_ERROR: :4:11: before: schema
2025_45f50c99.diff,AST_PARSE_ERROR: :4:31: before: ;
2025_46b4ba53.diff,AST_PARSE_ERROR: :2:7: before: to
2025_47da1989.diff,AST_PARSE_ERROR: :4:11: before: my
2025_49fe1c83.diff,AST_PARSE_ERROR: :2:85: before: )
2025_4c08ecd1.diff,AST_PARSE_ERROR: :5:49: before: ;
2025_4cb560b5.diff,AST_PARSE_ERROR: :2:6: before: not
2025_4f15759b.diff,AST_PARSE_ERROR: :2:54: before: ;
2025_500b6176.diff,AST_PARSE_ERROR: :6:25: before: ;
2025_51a0382e.diff,AST_PARSE_ERROR: :2:3: Invalid declaration
2025_52382feb.diff,AST_PARSE_ERROR: :2:7: before: performance
2025_530cfa8e.diff,IF_CONDITION(!IsUnderPostmaster) | CALL(LWLockNewTrancheId) | CALL(LWLockNewTrancheId)
2025_5457ea46.diff,AST_PARSE_ERROR: :2:18: before: /
2025_5a4eba55.diff,AST_PARSE_ERROR: :6:43: before: ;
2025_5b8f2ccc.diff,AST_PARSE_ERROR: :2:25: before: /
2025_5b94e275.diff,CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem) | CALL(PQfreemem)
2025_5ee75e32.diff,AST_PARSE_ERROR: :2:50: before: ;
2025_615ff828.diff,AST_PARSE_ERROR: :5:30: before: )
2025_62ec3e1f.diff,AST_PARSE_ERROR: :2:11: before: old_pss_pid
2025_64e7fa43.diff,AST_PARSE_ERROR: :2:25: before: ;
2025_69ab4465.diff,AST_PARSE_ERROR: :5:11: before: nbanks
2025_6aa33afe.diff,IF_CONDITION(expr) | CALL(unlikely) | CALL(VALGRIND_MAKE_MEM_NOACCESS) | CALL(MemoryContextAllocationFailure) | CALL(VALGRIND_MAKE_MEM_DEFINED) | CALL(memcpy) | CALL(Min)
2025_6c05ef57.diff,AST_PARSE_ERROR: :3:53: before: contrib
2025_6e153530.diff,AST_PARSE_ERROR: :2:77: before: ;
2025_6e91b9c1.diff,No logic nodes
2025_6f22a82a.diff,CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert) | CALL(dummy_assert)
2025_706cbed3.diff,AST_PARSE_ERROR: :2:43: before: total
2025_7195c804.diff,IF_CONDITION(expr != expr) | IF_CONDITION(last_saved_restart_lsn_updated) | CALL(ReplicationSlotsComputeRequiredLSN)
2025_783cbb6d.diff,AST_PARSE_ERROR: :2:10: before: loopback
2025_798b19d2.diff,CALL(Py_XDECREF) | CALL(Py_DECREF)
2025_7afca7ed.diff,AST_PARSE_ERROR: :2:70: before: ;
2025_7bbc4621.diff,AST_PARSE_ERROR: :2:22: Illegal character '@'
2025_7bc88c3d.diff,IF_CONDITION(expr) | IF_CONDITION(expr) | IF_CONDITION(expr) | IF_CONDITION(expr) | IF_CONDITION(!expr)
2025_7c2061bd.diff,AST_PARSE_ERROR: :2:6: before: $out
2025_7fcb32ad.diff,No logic nodes
2025_81f72115.diff,AST_PARSE_ERROR: :2:64: before: ;
2025_837cc73a.diff,AST_PARSE_ERROR: :2:10: before: alias
2025_847bbb21.diff,AST_PARSE_ERROR: :2:9: before: functions
2025_84914e96.diff,AST_PARSE_ERROR: :2:10: before: commands
2025_84fd3bc1.diff,No logic nodes
2025_85ccd7e3.diff,AST_PARSE_ERROR: :5:9: before: $inputfile
2025_86b276a4.diff,No logic nodes
2025_8741e48e.diff,AST_PARSE_ERROR: :5:12: before: permutation
2025_898c131b.diff,AST_PARSE_ERROR: :9:17: before: cannot
2025_89d57c1f.diff,AST_PARSE_ERROR: :4:3: before: else
2025_8ab6ef2b.diff,AST_PARSE_ERROR: :2:19: before: ;
2025_8ae0a379.diff,AST_PARSE_ERROR: :2:56: before: ;
2025_8b18ed6d.diff,AST_PARSE_ERROR: :2:3: before: <
2025_8b3e2c62.diff,AST_PARSE_ERROR: :2:10: Invalid declaration
2025_8c8f7b19.diff,CALL(smgrdestroyall) | CALL(smgrdestroyall)
2025_8e5b9292.diff,AST_PARSE_ERROR: :2:43: before: ;
2025_8ec97e78.diff,AST_PARSE_ERROR: :2:25: before: ;
2025_8ede692d.diff,AST_PARSE_ERROR: :2:6: before: $oldpid
2025_90260e2e.diff,AST_PARSE_ERROR: :4:3: before: .
2025_905e932f.diff,AST_PARSE_ERROR: :4:12: before: permutation
2025_92cf557f.diff,AST_PARSE_ERROR: :2:62: before: ;
2025_94512623.diff,AST_PARSE_ERROR: :3:58: before: ;
2025_969ab9d4.diff,AST_PARSE_ERROR: :2:36: before: ;
2025_9790affc.diff,AST_PARSE_ERROR: :2:22: before: /
2025_990c8db1.diff,IF_CONDITION(expr == NULL) | CALL(first_dir_separator)
2025_991974bb.diff,AST_PARSE_ERROR: :2:3: before: else
2025_99780da7.diff,AST_PARSE_ERROR: :2:58: before: ;
2025_9e345415.diff,No logic nodes
2025_9e63f83a.diff,AST_PARSE_ERROR: :4:12: before: detach
2025_9ec0b299.diff,AST_PARSE_ERROR: :2:84: before: )
2025_9fc7f6ab.diff,No logic nodes
2025_9fd29d7f.diff,AST_PARSE_ERROR: :2:15: before: heapBlk
2025_a4fd971c.diff,AST_PARSE_ERROR: :3:37: Invalid char constant 'postgres'
2025_a6060f1c.diff,AST_PARSE_ERROR: :13:10: before: INDEX
2025_a6285b15.diff,AST_PARSE_ERROR: :2:6: before: $batch_start_sql
2025_a6c0bf93.diff,AST_PARSE_ERROR: :2:94: before: ;
2025_a93e2a1e.diff,AST_PARSE_ERROR: :2:51: before: )
2025_a95393ec.diff,AST_PARSE_ERROR: :3:14: before: /
2025_a98ccf72.diff,No logic nodes
2025_aa39b4e3.diff,"AST_PARSE_ERROR: :2:7: before: ,"
2025_abc2b713.diff,No logic nodes
2025_b102c8c4.diff,CALL(MemoryContextSwitchTo) | CALL(PlanCacheComputeResultDesc) | IF_CONDITION(expr) | CALL(MemoryContextSwitchTo) | CALL(CreateTupleDescCopy) | CALL(MemoryContextSwitchTo) | CALL(PlanCacheComputeResultDesc)
2025_b237f542.diff,AST_PARSE_ERROR: :2:3: before: <
2025_b46efe90.diff,AST_PARSE_ERROR: :3:10: Invalid declaration
2025_b52a4a5f.diff,AST_PARSE_ERROR: :5:59: before: ;
2025_b63952a7.diff,AST_PARSE_ERROR: :2:20: Invalid char constant 'postgres'
2025_b6463ea6.diff,AST_PARSE_ERROR: :2:47: before: ;
2025_b8926a5b.diff,AST_PARSE_ERROR: :2:12: before: ;
2025_c09a0691.diff,AST_PARSE_ERROR: :2:83: before: ;
2025_c32e32f7.diff,AST_PARSE_ERROR: :2:3: before: <
2025_c3cc2ab8.diff,AST_PARSE_ERROR: :2:36: before: *
2025_c44c2d27.diff,AST_PARSE_ERROR: :2:9: before: conrelid
2025_c5ae07a9.diff,"AST_PARSE_ERROR: :5:53: before: ,"
2025_c5c74282.diff,AST_PARSE_ERROR: :2:10: Invalid declaration
2025_c5d34f4a.diff,AST_PARSE_ERROR: :2:5: Illegal character '\\'
2025_c754bdd8.diff,AST_PARSE_ERROR: :2:26: Invalid char constant 'otherdb_slot'
2025_c989affb.diff,AST_PARSE_ERROR: :3:23: before: ;
2025_ca09ef3a.diff,AST_PARSE_ERROR: :2:23: Illegal character '\\'
2025_ca3067cc.diff,AST_PARSE_ERROR: :10:32: before: /
2025_cbe04e5d.diff,AST_PARSE_ERROR: :3:10: before: extension
2025_d2ca16bb.diff,AST_PARSE_ERROR: :2:11: before: is
2025_d2e70683.diff,No logic nodes
2025_d3111cb7.diff,AST_PARSE_ERROR: :2:10: before: fpi_bytes
2025_d3917d8f.diff,AST_PARSE_ERROR: :3:51: before: ;
2025_d438515c.diff,AST_PARSE_ERROR: :2:6: before: discover
2025_d4baa327.diff,CALL(__attribute__)
2025_d4f79865.diff,AST_PARSE_ERROR: :2:29: before: )
2025_d5845aa8.diff,AST_PARSE_ERROR: :4:3: before: else
2025_d5b9b2d4.diff,AST_PARSE_ERROR: :2:45: before: )
2025_d96c854d.diff,AST_PARSE_ERROR: :2:6: before: placed
2025_db19a506.diff,AST_PARSE_ERROR: :2:66: before: )
2025_dc9a2d54.diff,AST_PARSE_ERROR: :3:25: before: )
2025_dcc9820a.diff,AST_PARSE_ERROR: :3:18: before: )
2025_dd766a44.diff,AST_PARSE_ERROR: :2:48: before: ;
2025_de9037d0.diff,AST_PARSE_ERROR: :2:47: before: ;
2025_df335618.diff,AST_PARSE_ERROR: :2:29: Invalid char constant 'postgres'
2025_df53fa1c.diff,AST_PARSE_ERROR: :2:9: before: PUBLICATION
2025_e03c9528.diff,AST_PARSE_ERROR: :2:22: before: volatile
2025_e1c36548.diff,AST_PARSE_ERROR: :2:40: before: )
2025_e2ceff13.diff,IF_CONDITION(expr) | CALL(pg_add_size_overflow) | IF_CONDITION(expr) | CALL(pg_mul_size_overflow)
2025_e41d954d.diff,CALL(pqsignal) | CALL(logicalrep_worker_stop_internal)
2025_e4e496e8.diff,No logic nodes
2025_e557c827.diff,AST_PARSE_ERROR: :3:3: before: else
2025_e596e077.diff,CALL(dummy_assert) | CALL(dummy_assert)
2025_e6dfd068.diff,AST_PARSE_ERROR: :2:47: before: ;
2025_ec4327d1.diff,No logic nodes
2025_ed073617.diff,CALL(free)
2025_eef4a33f.diff,AST_PARSE_ERROR: :2:5: before: ;
2025_f011acdd.diff,AST_PARSE_ERROR: :2:43: before: )
2025_f0b7ab72.diff,AST_PARSE_ERROR: :5:21: before: ;
2025_f24605e2.diff,AST_PARSE_ERROR: :2:14: before: oldroot
2025_f275afc9.diff,No logic nodes
2025_f5234599.diff,AST_PARSE_ERROR: :2:22: before: ;
2025_f5a987c0.diff,AST_PARSE_ERROR: :3:77: Illegal character '\\'
2025_f8c115a6.diff,AST_PARSE_ERROR: :2:14: before: that
2025_fa44b8b7.diff,AST_PARSE_ERROR: :2:54: before: *
2025_fb056564.diff,IF_CONDITION(prev_chars > chars) | CALL(fprintf) | CALL(fputc) | IF_CONDITION(prev_chars > chars) | CALL(fprintf) | CALL(fputc)
2025_fc32be3c.diff,AST_PARSE_ERROR: :2:88: before: ;
2025_fdda78e3.diff,AST_PARSE_ERROR: :3:9: before: PLAN
2025_fe29b2a1.diff,AST_PARSE_ERROR: :2:3: before: else
2025_ff030ebe.diff,AST_PARSE_ERROR: :3:74: before: ;
2025_ff0bcb24.diff,AST_PARSE_ERROR: :2:3: before: else
2025_ff1975dd.diff,AST_PARSE_ERROR: :6:3: before: else
2025_ff8aba65.diff,AST_PARSE_ERROR: :2:10: before: subpath
