hash,author,modules,lines_added,lines_deleted
9f34cae1426fe5ab915c95b7e26b1efffbb2ca0f,Michael Paquier,['src'],16,5
35a015a60045c2daa532c7a9545818856f09d57a,Jeff Davis,['src'],2,2
98c5b191e74b65b74149bb436b057d7007d401a7,Jeff Davis,['src'],2,4
682512dca870f46cf2c0b9e227702dffc5de5ef0,Daniel Gustafsson,['src'],1,1
fd64ed60b62697984bb69a09a3ae19fbe2905eb6,Álvaro Herrera,['src'],32,32
5a4416192d220410779a4ef6d433e067ba7a7043,Tom Lane,['src'],7,1
05d1b9b5c286424dea2a91cf906c49c9d22ff4bf,Heikki Linnakangas,['src'],2,1
a39297ec026c556b1bf2963dde766db31a2c3d2d,Fujii Masao,['src'],6,6
a9ed7d944965865e5c6b44e58602f621cd185856,Jeff Davis,['src'],19,9
c3b80a7e98456904a2bf8f06a0cbf10f8dae1e83,Nathan Bossart,['src'],7,0
5d6187d2a28326b3414c394ec4c28c51bb513c44,Nathan Bossart,"['contrib', 'src']",10,10
022564f60ca5cade8fd663906f3ee514573b4b5e,Amit Kapila,"['contrib', 'src']",60,0
2e7c4abe5a88a1528236a13c9ef2e351a97fa022,Michael Paquier,['src'],32,32
4dd308730029f5d90bd188f181c2dd9d7630ea69,Michael Paquier,['src'],0,21
259a0a99fe3d45dcf624788c1724d9989f3382dc,Dean Rasheed,['src'],89,0
dddb5640c6d32f3d48994dac0f4e80d0f4567262,Dean Rasheed,['src'],101,5
a1c4c8a9e1e3a53996dafa1f4ee6d4f7de2c58b2,Fujii Masao,"['doc', 'contrib']",140,16
babb3993dbe9c805c1d29fa275a5e8f4c2b40922,Amit Langote,['src'],8,2
17cc5f666f6aada21eb3237974c50681ba4814ea,Fujii Masao,"['doc', 'src']",47,16
fc1b2ce0ee9c9745c5c562b692e021344a3f719a,Robert Haas,['src'],8,3
cf4401fe6cf56811343edcad29c96086c2c66481,Michael Paquier,['src'],8,1
5deb56387e3a1d08e1e62bed031258db267a0ab5,Michael Paquier,['src'],48,3
e9339782a631eeef01281bc7e1633dd6b970106e,Tom Lane,['src'],5,0
c1ff2d8bc5be55e302731a16aaff563b7f03ed7c,Noah Misch,['src'],17,8
8410f738ad2fd94fc068ce0189e1ae04ef3c12e3,Fujii Masao,['src'],1,1
09620ea09121b66e9372e8e9244d8bb6b19b89d7,Michael Paquier,['src'],8,0
f762d99c8783f5ca99d5a6ab0f8245e164a954ce,Michael Paquier,['src'],7,4
147bbc90f75794e5522dcbadaf2bbe1af3ce574a,Tom Lane,"['doc', 'src']",231,23
a07e03fd8fa7daf4d1356f7cb501ffe784ea6257,Noah Misch,['src'],801,155
dbf3f974ee04d24547690268b1fc2b7eb12b4ebc,Noah Misch,['src'],10,0
1591b38d17c55015403f6e3c9461538ffcf704e7,Tom Lane,['src'],1,1
cd838e200880c6f52c5b5e30887e5ff584876bef,Tom Lane,"['contrib', 'src']",27,21
75240f65e700d7d157be27653c70fe75108f25c1,Tom Lane,['src'],14,5
a7e5237f268ea378c514635d65a55aa47621958a,Tomas Vondra,['src'],5,5
54562c9cfa2281b6303cdea1aff9596c4a5de4b2,Tom Lane,['src'],11,8
c00c54a9ac1e0c52ace8051a30805ca74ae53212,Peter Geoghegan,['src'],6,2
a094e8b9e43e350798ea0c95b8967b8caf64bcbd,Alexander Korotkov,['src'],1,1
1bbf1e2f1a077905037272cd4767e952f34c02b3,Nathan Bossart,['src'],2,2
c34eabfbbfd3d3799bc7bc61f22b1fe730c53fe8,Nathan Bossart,['src'],75,71
d891c49286bb138dcd70df1dff83e22fa757fc84,Bruce Momjian,['doc'],1,0
70d1c664f4376fd3499e3b0c6888cf39b65d722b,Nathan Bossart,['contrib'],5,3
e6c45d85dc168fb05b5ee5596a4de5167c9fe01f,Amit Langote,['src'],48,38
77761ee5dddc0518235a51c533893e81e5f375b9,Tom Lane,['src'],0,2
280423300b361eb9deff5ea40d4b0e6fab00211b,Magnus Hagander,['doc'],3,3
842265631dfd9e5583d934e2ae328b09bc4b2f8b,Tomas Vondra,['src'],32,3
3beb945da9d72a9803180deb1752cf8feeb66883,Amit Kapila,['src'],4,3
bccca780eef904002512a1a0b5ce617bcb63507b,Tom Lane,['src'],84,23
5bbdfa8a18dc56d3e64aa723a68e02e897cb5ec3,Michael Paquier,['src'],92,3
dd8bea88abf4794d99270ced884a8bc1e387255d,Amit Langote,['src'],34,12
87b6c3c0b703c3a71bc640f456a24937744ff30b,Richard Guo,['src'],1,1
fc415edf8ca883b38cf8186f0d4b794d4a738cd5,Michael Paquier,['src'],119,40
129a2f6679fd8891384016b6e2cde6cefda22a7d,Tom Lane,['src'],1,1
bbd4c058a89b1e756eb646af89a4ef90f0df144e,Amit Langote,['src'],34,3
ee75a03f37fc27c7f07a21dc22edf4511e31a4a1,Amit Langote,['src'],37,4
3a97460970f344660971ee75d7f5a181bf87f633,Amit Langote,['src'],22,8
565caaa79af9a6b3853b161b0652527e716326b8,Amit Langote,['src'],33,3
68222851d5a8d2ca152a97ee69fe18a95970ed20,Amit Langote,['src'],27,4
7829f85a6285b3703a53ba5963a4df2e768014df,Jeff Davis,['src'],17,13
fadff3fc94598db1d87e4242821964fb2850e19e,Tom Lane,['src'],74,62
85837b8037ada19d319fa4d3ba99c72205868199,Daniel Gustafsson,['src'],4,1
4af123ad45bd5e91221983da1152033e6153498c,Peter Eisentraut,['src'],9,9
341e9a05e7b4c4fb2a1e539a5073dfd0e5b46735,Michael Paquier,['src'],18,0
82b07eba9e8b863cc05adb7e53a86ff02b51d888,Peter Eisentraut,['src'],8,4
a68159ff2b32f290b1136e2940470d50b8491301,Michael Paquier,['src'],73,42
08b9b9e043bb42c12f5cd7439b9c19833fe877d0,Michael Paquier,['src'],1,1
1c61fd8b527954f0ec522e5e60a11ce82628b681,Noah Misch,['contrib'],1,2
31a98934d1699007b50aefaedd68ab4d6b42e3b4,Daniel Gustafsson,['src'],6,6
4236825197e8b7f26f8fd2ce0ac287a696e7264e,Michael Paquier,"['doc', 'contrib', 'src']",24,24
2befd22790ef32bbe3cbfc8b4b826e8a1286afbd,Peter Eisentraut,['src'],1,1
4effd0844daf41a962c05188b719df75ca8ced93,Thomas Munro,['src'],23,58
43f2e7634d838b39fd3fa3aaddb6964392d98312,Tom Lane,['src'],217,100
d7fe02fb9e6eee16b61874bc8964b0e2d4c5b2ad,Peter Eisentraut,['src'],4,0
9d90e2bdafbdeba037aa4fee3febe9f48201bf74,Amit Kapila,['doc'],2,5
dc26ff2f228174efed9bf285ee8f8065ea295799,Peter Eisentraut,['src'],4,7
7229ebe011dff3f418251a4836f6d098923aa1e1,Masahiko Sawada,['src'],9,9
52f1d6730bf7132a175b9b612029812859218927,Masahiko Sawada,"['contrib', 'src']",62,4
09a8407dbfd848301cd2c9801c3b4d75adc6cabc,Peter Geoghegan,['src'],1,1
7cac6307a43c1fcbd050724d3995a489da62e852,Dean Rasheed,['src'],1,2
a36aa223ec447276bf7050ab9ec6d974cafdf6c4,Noah Misch,['src'],1,2
a8395677840c37f6988d7d6420d551d0b744e6bd,Jeff Davis,['src'],6,12
2b03cfeea47834913ff769124f4deba88140f662,Robert Haas,['src'],10,10
d43b8bb6b8f56cda59d14b5040496e266b0d9d25,Amit Kapila,['doc'],2,2
0fb0f689331cb0c00348aab752dced30493a6672,Jeff Davis,"['configure.ac', 'configure']",23,13
5ff9b6b4d981a59236a89d33dea8bc253257ce2a,Nathan Bossart,['src'],2,2
4fdb6558c2709c799643d26f3f956395ae72a8ef,Daniel Gustafsson,['src'],1,2
2724ff381a161eb030a1fcd2a6346679d74db420,Thomas Munro,['src'],1,1
56d23855c864b7384970724f3ad93fb0fc319e51,Heikki Linnakangas,['src'],1,1
bd06cc338d82fd0c56de6421fe5ef143ec79cf6e,Michael Paquier,['src'],7,7
a5f4ff6c806d359b3d2c28cf902047c830acc132,Michael Paquier,['doc'],1,1
0f92b230f88b98c34b9804c4b4226e0d1822dc53,Tomas Vondra,['src'],16,1
d426718d8d6f42467ab8888d8e7837dcfa452e20,Thomas Munro,['src'],1,0
64740853f07fd1a8314ad68c38298d7e5afe1acc,Noah Misch,['src'],5,6
03e9b958eef44046c0092f1f34da4b2de0f9071d,Bruce Momjian,['doc'],1,1
151da217a37d793020f8daeea45c142571c0fbe4,Bruce Momjian,['src'],1,1
bd8fe12ef3f727ed3658daf9b26beaf2b891e9bc,David Rowley,['src'],4,2
6be39d77a70df52d5a0f2eb414ef9901ccf17e5a,Tom Lane,"['doc', 'src']",94,16
e882bcae032d5e89777e2a1f3d78dfb77c17c192,Peter Eisentraut,['src'],7,5
e2ed7e32271a82179c3f8c7c93ce52ff93c6dd3c,Alexander Korotkov,['contrib'],40,5
a3c6aa42ee0d625a55e73e17230db3eaeed3566c,Jeff Davis,['doc'],1,1
80ffcb842748f0b8ccf8b24c5c3b2500755d2dcd,David Rowley,['src'],66,80
93660d1c27b1b85e84621326c0e2c89e00c3fc6f,Peter Eisentraut,['src'],12,12
12d6c727ca6988462651c525e197601c4c0f8745,Alvaro Herrera,['src'],5,5
c899c6839f5de596a316da7fb94e4f917a242b04,Alvaro Herrera,['src'],22,8
